utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
"Pas maintenant, plus tard.",Female Speaker,PromptedRecall,"Say, 'Not now, later.'",pas maintenant plus tard
"Non, je vais déjeuner maintenant.",Male Speaker,DirectRepetition,Listen and repeat.,non je vais déjeuner maintenant
Je vais.,Male Speaker,PromptedRecall,,je vais
Vous allez.,Male Speaker,PromptedRecall,"Now, think back to the question 'how are you?' and tell me how to say 'you are going.'",vous allez
Vous allez manger.,Male Speaker,PromptedRecall,"Say, 'You are going to eat.'",vous allez manger
Est-ce que vous allez manger?,Female Speaker,PromptedRecall,"Ask, 'Are you going to eat?'",est-ce que vous allez manger
"Oui, je vais manger maintenant.",Male Speaker,PromptedRecall,"Say, 'Yes, I'm going to eat now.'",oui je vais manger maintenant
Je vais. Je veux.,Female Speaker,DirectRepetition,Listen and repeat the contrast between 'I am going' and 'I want.',je vais je vouloir
Je vais manger à cinq heures.,Male Speaker,PromptedRecall,"Say, 'I'm going to eat at five o'clock.'",je vais manger à cinq heures
Est-ce que vous allez manger à cinq heures?,Female Speaker,PromptedRecall,Ask me if I'm going to eat at five o'clock.,est-ce que vous allez manger à cinq heures
"Non, à huit heures.",Male Speaker,PromptedRecall,"Answer, 'No, at eight o'clock.'",non à huit heures
Mais je vais boire quelque chose.,Male Speaker,PromptedRecall,"Say, 'But I'm going to drink something.'",mais je vais boire quelque chose
Quand?,Female Speaker,PromptedRecall,"Ask, 'When?'",quand
À trois heures ou à quatre heures?,Male Speaker,PromptedRecall,"Say, 'At three o'clock or at four o'clock?'",à trois heures ou à quatre heures
"Moi, je vais boire quelque chose à neuf heures.",Female Speaker,PromptedRecall,"Say, 'Me, I'm going to drink something at nine o'clock.'",moi je vais boire quelque chose à neuf heures
Quelle heure est-il maintenant?,Male Speaker,PromptedRecall,"Ask, 'What time is it now?'",quelle heure être il maintenant
Il est une heure maintenant.,Female Speaker,PromptedRecall,"Say, 'It's one o'clock now.'",il être une heure maintenant
Une heure.,Female Speaker,PromptedRecall,,une heure
Il est une heure maintenant.,Female Speaker,PromptedRecall,,il être une heure maintenant
"Merci, je vais déjeuner.",Male Speaker,PromptedRecall,"Say, 'Thank you, I'm going to have lunch.'",merci je vais déjeuner
Bonjour!,Female Speaker,ConversationalExchange,,bonjour
"Bonjour, Mademoiselle.",Male Speaker,ConversationalExchange,,bonjour mademoiselle
Est-ce que vous allez bien?,Female Speaker,ConversationalExchange,,est-ce que vous allez bien
"Oui, je vais bien.",Male Speaker,ConversationalExchange,,oui je vais bien
"Oui, je vais bien, merci.",Male Speaker,ConversationalExchange,,oui je vais bien merci
"Pardon, est-ce que vous voudriez manger avec moi?",Female Speaker,ConversationalExchange,,pardon est-ce que vous vouloir manger avec moi
"Oui, merci.",Male Speaker,ConversationalExchange,,oui merci
"Oui, je veux bien.",Male Speaker,ConversationalExchange,,oui je vouloir bien
Je veux bien.,Male Speaker,ConversationalExchange,,je vouloir bien
Je vais bien. Je veux bien.,Female Speaker,DirectRepetition,Listen and repeat the contrast between 'I'm feeling fine' and 'I really want to.',je vais bien je veux bien
"Je vais bien, je veux bien.",Female Speaker,DirectRepetition,,je vais bien je veux bien
À quelle heure est-ce que vous voudriez manger? À huit heures?,Female Speaker,ConversationalExchange,,à quelle heure est-ce que vous vouloir manger à huit heures
"Non, à neuf heures.",Male Speaker,ConversationalExchange,,non à neuf heures
"Non, pas à neuf heures. À deux heures, voudriez-vous?",Female Speaker,ConversationalExchange,,non pas à neuf heures à deux heures vouloir vous
"Non, pas à deux heures. À trois heures.",Male Speaker,ConversationalExchange,,non pas à deux heures à trois heures
"Trois heures? Non, merci. Mais à quatre heures, d'accord?",Female Speaker,ConversationalExchange,,trois heures non merci mais à quatre heures d'accord
"Non, pas à quatre heures, à cinq heures.",Male Speaker,ConversationalExchange,,non pas à quatre heures à cinq heures
"Non, pas à quatre heures. À cinq heures.",Male Speaker,ConversationalExchange,,non pas à quatre heures à cinq heures
"Non, pas moi, pas à cinq heures.",Female Speaker,ConversationalExchange,,non pas moi pas à cinq heures
Quand est-ce que vous voudriez déjeuner?,Male Speaker,PromptedRecall,Ask her when she would like to have lunch.,quand est-ce que vous vouloir déjeuner
"Je ne sais pas, moi.",Female Speaker,ConversationalExchange,,je ne savoir pas moi
"Est-ce que vous voudriez déjeuner, oui ou non?",Male Speaker,PromptedRecall,"Ask her if she would like to have lunch, yes or no.",est-ce que vous vouloir déjeuner oui ou non
"Oui, mais quand?",Female Speaker,ConversationalExchange,,oui mais quand
Je vais déjeuner maintenant.,Male Speaker,PromptedRecall,Tell her that you are going to have lunch now.,je vais déjeuner maintenant
Est-ce que vous allez déjeuner avec moi?,Male Speaker,PromptedRecall,Ask her if she is going to have lunch with you.,est-ce que vous allez déjeuner avec moi
"Oui, je vais déjeuner avec vous.",Female Speaker,ConversationalExchange,,oui je vais déjeuner avec vous
"Mais quand, Mademoiselle?",Male Speaker,PromptedRecall,"Ask, 'But when, Miss?'",mais quand mademoiselle
"Plus tard, Monsieur. Plus tard.",Female Speaker,ConversationalExchange,,plus tard monsieur plus tard
C'est cinq.,Male Speaker,PromptedRecall,Read it aloud.,c'est cinq
Son pain.,Male Speaker,PromptedRecall,Read number two.,son pain
Je garde ce nom.,Male Speaker,PromptedRecall,Read three.,je garder ce nom
Je le garde.,Male Speaker,PromptedRecall,Four.,je le garder
Je garde la place.,Male Speaker,PromptedRecall,Five.,je garder la place
Je la garde.,Male Speaker,PromptedRecall,Six.,je la garder
Je le veux.,Male Speaker,DirectRepetition,Listen and repeat.,je le vouloir
Vous voulez?,Male Speaker,PromptedRecall,Read eight.,vous vouloir
Est-ce que vous le voulez?,Male Speaker,PromptedRecall,Nine.,est-ce que vous le vouloir
Je ne veux pas manger.,Male Speaker,PromptedRecall,Ten.,je ne vouloir pas manger
Je le veux un peu.,Male Speaker,PromptedRecall,Eleven.,je le vouloir un peu
Peu?,Male Speaker,PromptedRecall,Twelve.,peu
Pou?,Male Speaker,PromptedRecall,,pou
Est-ce que vous boudez?,Male Speaker,PromptedRecall,Thirteen.,est-ce que vous bouder
